popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
    300 ,       20 ,        0.1  ,        100 ,2397.0444852801347 ,2897.4             ,300_20_0.1_100
    300 ,       20 ,        0.1  ,        200 ,2413.7325986699075 ,2847.0             ,300_20_0.1_200
    300 ,       20 ,        0.1  ,        500 ,1226.6609678914508 ,3702.5999999999995 ,300_20_0.1_500
    300 ,       30 ,        0.01 ,        100 ,1035.3776817096814 ,5534.0             ,300_30_0.01_100
    300 ,       30 ,        0.01 ,        200 ,1025.695855221575  ,4816.0             ,300_30_0.01_200
    300 ,       30 ,        0.01 ,        500 ,1296.6590961955517 ,3395.399999999999  ,300_30_0.01_500
    300 ,       30 ,        0.02 ,        100 ,1072.7096810791336 ,5837.6             ,300_30_0.02_100
    300 ,       30 ,        0.02 ,        200 ,1128.0400089129446 ,3897.0             ,300_30_0.02_200
    300 ,       30 ,        0.02 ,        500 , 991.5920496641404 ,5130.8             ,300_30_0.02_500
    300 ,       30 ,        0.05 ,        100 ,2199.0877942696525 ,2896.4             ,300_30_0.05_100
    300 ,       30 ,        0.05 ,        200 ,1107.814357743192  ,4221.6             ,300_30_0.05_200
    300 ,       30 ,        0.05 ,        500 ,1047.1252757317466 ,4452.8             ,300_30_0.05_500
    300 ,       30 ,        0.1  ,        100 ,2671.011433077871  ,2940.0             ,300_30_0.1_100
    300 ,       30 ,        0.1  ,        200 ,1133.3641553482078 ,5495.0             ,300_30_0.1_200
    300 ,       30 ,        0.1  ,        500 , 958.337240627696  ,5227.0             ,300_30_0.1_500
